institution,type,record_count
Aberystwyth University School of Art Museum and Galleries,object,0
University of Cambridge,library,0
University of Cambridge,object,275225
University of Cambridge,archive,0
Amgueddfa Cymru (National Museum Wales),object,0
National Museums Northern Ireland,object,46618
Diving Museum,object,8934
Ravenglass Railway Museum,object,8195
"Aberdeen Archives, Gallery and Museums",object,149515
Aldbourne Heritage Centre,object,3728
Armagh County Museum,object,14258
Jersey Heritage,object,219359
Leicester Museums and Galleries,object,20719
Loughborough Carillon Tower and War Memorial Museum,object,4266
Norfolk Museums,object,443754
Nottingham Museums,object,506639
Poole Museum,object,35171
Teign Heritage Centre,object,3324
Science Museum Group,object,468063
