institution,subcollection,sector,type,topic,precision,record_count
Aberystwyth University School of Art Museum and Galleries,Museum Collection,university,museum,mixed,estimate,0
University of Cambridge,Fitzwilliam Museum,university,museum,art,estimate,275225
Amgueddfa Cymru (National Museum Wales),Museum Collection,national,museum,mixed,estimate,0
National Museums Northern Ireland,Museum Collection,national,museum,mixed,estimate,46618
Diving Museum,Museum Collection,independent,museum,maritime,estimate,8934
Ravenglass Railway Museum,Museum Collection,independent,museum,transport,estimate,8195
"Aberdeen Archives, Gallery and Museums",Museum Collection,regional,museum,mixed,estimate,149515
Aldbourne Heritage Centre,Museum Collection,regional,museum,heritage,estimate,3728
Armagh County Museum,Museum Collection,regional,museum,heritage,estimate,14258
Jersey Heritage,Museum Collection,regional,museum,heritage,estimate,219359
Leicester Museums and Galleries,Museum Collection,regional,museum,heritage,estimate,20719
Loughborough Carillon Tower and War Memorial Museum,Museum Collection,regional,museum,heritage,estimate,4266
Norfolk Museums,Museum Collection,regional,museum,heritage,estimate,443754
Nottingham Museums,Museum Collection,regional,museum,heritage,estimate,506639
Poole Museum,Museum Collection,regional,museum,heritage,estimate,35171
Teign Heritage Centre,Museum Collection,regional,museum,heritage,estimate,3324
Science Museum Group,Museum Collection,dcms,museum,science,estimate,468063
